Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2,Cluster
14693,HAMAMELIDACEAE,56.0,1883,Eudicot,2.5619235038757324,9.076897621154783,2.6436786412518813,1.4827226256979884,-0.0412896727361663,-0.4982922465033348,0
1948,PINACEAE,125.0,1883,Pinopsida,2.3626272678375244,9.269071578979492,4.446521592716636,1.2381052934056245,0.1227427435703993,-0.4847001329696652,0
16574,PINACEAE,75.0,1883,Pinopsida,2.1826953887939453,9.024028778076172,3.919170212842573,1.3597558777646557,0.2734740790612132,-0.4185832391312643,0
1932,PINACEAE,51.0,1883,Pinopsida,4.068634986877441,8.629480361938477,4.9194573070005845,0.0674471906186227,0.3945702546981967,-0.3071063563448339,18
1932,PINACEAE,51.0,1883,Pinopsida,4.068634986877441,8.629480361938477,4.914462195925125,0.080728136675134,0.4729086208503172,-0.1623497346023418,18
2672,TAXACEAE,69.0,1884,Pinopsida,2.553242444992065,9.015996932983398,3.338284544488033,0.9941760580486516,0.5499999999999999,0.0,0
15432,ROSACEAE,,1884,Eudicot,3.7197651863098153,8.339098930358887,0.6263323366208624,3.1140361088464488,0.4213244437154379,0.3535331853275965,18
15432,ROSACEAE,,1884,Eudicot,3.7197651863098153,8.339098930358887,0.625947875526208,3.114770354049142,0.0955064977168117,0.5416442641567143,18
14166,ROSACEAE,115.0,1884,Eudicot,2.7292771339416504,9.245576858520508,1.121924344637364,3.342064827415016,-0.2749999999999998,0.4763139720814413,0
16566,PINACEAE,127.0,1884,Pinopsida,2.551085948944092,9.010713577270508,4.034235581078292,1.3290563995565208,-0.5168309414322495,0.1881110788291178,0
16990,ANACARDIACEAE,55.0,1884,Eudicot,2.3154618740081787,8.84013557434082,2.5833312211514112,2.148672512388657,-0.5168309414322496,-0.1881110788291177,0
16990,ANACARDIACEAE,55.0,1884,Eudicot,2.3154618740081787,8.84013557434082,2.6641180360538783,2.128833259731892,-0.2750000000000002,-0.476313972081441,0
14166,ROSACEAE,115.0,1884,Eudicot,2.7292771339416504,9.245576858520508,0.42000022399111,3.050969811786672,0.0955064977168114,-0.5416442641567144,0
16552,PINACEAE,70.0,1884,Pinopsida,2.011956214904785,8.75550365447998,3.4685077729118348,1.2266215034628658,0.4213244437154378,-0.3535331853275967,7
16593,PLATANACEAE,65.0,1885,Eudicot,3.6893136501312256,8.611396789550781,3.462922033422956,2.865788071015686,0.6,0.0,18
15803,PINACEAE,76.0,1886,Pinopsida,2.224486351013184,9.167284965515137,4.918657147297381,0.918640349107136,0.65,0.0,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.766354797405029,0.5131479060491984,0.6005216961323364,0.2487442310373083,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.770874137846249,0.4870111032987552,0.4596194077712559,0.4596194077712559,0
15803,PINACEAE,76.0,1886,Pinopsida,2.224486351013184,9.167284965515137,4.967487553984711,0.1132075122641254,0.2487442310373084,0.6005216961323364,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.73090555995077,0.4946195643483406,3.980102097228898e-17,0.65,0
15803,PINACEAE,76.0,1886,Pinopsida,2.224486351013184,9.167284965515137,5.017684239392793,0.905761981028718,-0.2487442310373083,0.6005216961323364,0
15803,PINACEAE,76.0,1886,Pinopsida,2.224486351013184,9.167284965515137,5.097580065623333,1.0716136008691135,-0.4596194077712559,0.4596194077712559,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.858960908221434,0.7791817862434982,-0.6005216961323364,0.2487442310373084,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.837177341237975,0.8088206046868436,-0.65,7.960204194457797e-17,0
1496-1,PINACEAE,76.0,1886,Pinopsida,1.451106309890747,8.74519157409668,4.580004090264765,1.382140413698835,-0.6005216961323364,-0.2487442310373083,2
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.925477968120276,0.8211211814327726,-0.459619407771256,-0.4596194077712559,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.7865241082613466,0.4719926562174805,-0.2487442310373087,-0.6005216961323363,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.772829122649682,0.5010172899833378,-1.194030629168669e-16,-0.65,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.855167718723124,0.8211219318263829,0.2487442310373085,-0.6005216961323363,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.855168199294667,0.8554296042229907,0.4596194077712559,-0.459619407771256,0
2775,PINACEAE,52.0,1886,Pinopsida,2.217048168182373,9.159372329711914,4.884463655972013,0.8371316286725232,0.6005216961323363,-0.2487442310373087,0
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,1.2970939612964685,3.1527957758771663,0.7000000000000001,0.0,6
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,1.2788234077756897,3.1494764773378847,0.6577848345501359,0.2394141003279681,6
