Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2
1783-98,PINACEAE,11.0,1998,Pinopsida,1.673012614250183,10.720961570739746,2.735603294730481,0.7010681525557629,-5.91751177921567,-1.8501498163239696
383-2003,RANUNCULACEAE,1.0,2003,Eudicot,3.0144662857055664,9.399653434753418,2.916405747355612,3.6853670401087584,-5.6286567347477,3.1497179814039185
1067-89,TAXACEAE,22.0,1989,Pinopsida,2.439519166946411,9.457452774047852,2.0425559007396714,1.6428848770428883,5.574051529151138,1.411541551059592
634-93,ROSACEAE,3.0,1993,Eudicot,1.9216125011444087,9.83166217803955,0.9670177512616648,2.518432689765177,-4.813651116530926,3.497322251140208
13417,PINACEAE,93.0,1918,Pinopsida,2.534030675888061,9.19656753540039,4.882366420564267,1.2504951651922056,-1.8704776986051512,-1.1581507583301829
633-64,ROSACEAE,21.0,1964,Eudicot,2.245083332061768,8.89683723449707,2.179823418026217,1.5773685947460765,-2.9939656507450394,3.3594894972538256
822-49,ROSACEAE,59.0,1949,Eudicot,2.340909481048584,9.013111114501951,3.579109066972705,-0.0003059694736293,3.0338137289060487,2.204194696096771
6992,PINACEAE,75.0,1909,Pinopsida,2.260982036590576,9.07960319519043,5.150055644302711,-0.2450767541422465,-1.4157797401561585,1.0286241915118286
17910,ULMACEAE,92.0,1888,Eudicot,1.4335849285125732,8.691179275512695,2.6453529694044846,2.769952001929596,0.7500000000000001,0.0
787-56,PINACEAE,16.0,1956,Pinopsida,4.052359580993652,8.486634254455566,4.321979257908879,0.7227799743141077,-0.7682633898014698,-4.027377727987617
125-2002,HAMAMELIDACEAE,2.0,2002,Eudicot,3.0707836151123047,9.220130920410156,3.021267998076155,3.734225673867968,1.4241339773204076,-6.239538637963657
930-84,ROSACEAE,23.0,1984,Eudicot,2.3473029136657715,7.187806606292725,3.219260668453672,-0.901488206693557,-0.0461993486582833,5.499805962048427
1652-83,SOLANACEAE,20.0,1983,Eudicot,1.3116995096206665,8.960721015930176,1.6503575019939944,2.0826681089847625,-2.2546312399092034,4.961767625758522
388-61,ROSACEAE,17.0,1961,Eudicot,2.3747246265411377,8.971569061279297,2.926119157516041,2.551169820334053,-4.18869019996292,-1.173615954533053
387-40,ULMACEAE,6.0,1940,Eudicot,4.093914031982422,8.687202453613281,2.6424671081417728,2.376365061461911,-2.333452377915604,2.3334523779156044
16524,PINACEAE,100.0,1911,Pinopsida,2.5320396423339844,9.237832069396973,4.815993533599567,0.0872965733719866,-1.6334530467890156,-0.8685223911538985
402-95,ANACARDIACEAE,2.0,1995,Eudicot,4.325962066650391,8.754864692687988,1.9852755192382567,3.895769371724782,6.042234868384856,-0.3064274714742113
1113-89,GINKGOACEAE,11.0,1989,Ginkgoopsida,2.1175811290740967,8.66450309753418,6.666142984007365,0.3637562100643663,-3.011119255430291,4.89853660082037
390-70,CORNACEAE,17.0,1970,Monocot,2.34169864654541,7.395700931549072,1.369747020635714,3.0925730375038256,2.9927510489219147,-3.752791115846537
20405,ROSACEAE,5.0,1927,Eudicot,2.295490264892578,9.044933319091797,0.2981260493520494,2.7258432629942035,-1.149791908661529,-2.3875674999414094
606-2008,ANACARDIACEAE,3.0,2008,Eudicot,1.5848352909088137,11.185603141784668,7.240319325258497,-0.0511669878160319,2.070413862312143,6.372078659177514
1812-98,PINACEAE,7.0,1998,Pinopsida,0.0738000869750976,10.89101219177246,2.786428093481163,0.8264135997887934,-5.5449765750312245,-2.773668109625738
222-86,PINACEAE,25.0,1986,Pinopsida,4.332871437072754,8.722458839416504,4.747428737671953,0.922798945811337,4.252667533266351,-3.643462481143748
241-94,CORNACEAE,2.0,1994,Monocot,2.3991198539733887,9.377156257629396,2.4997488933684053,2.2128452422944065,0.1634152458432904,-5.997774208606541
997-81,ROSACEAE,30.0,1981,Eudicot,2.831295728683472,8.319415092468262,0.9698637246785892,3.049662277555853,4.215857531795954,-3.2937888929922643
842-86,ROSACEAE,15.0,1986,Eudicot,1.427271604537964,10.990575790405272,0.7014819903695297,2.8591884936026872,5.53372664365504,-0.8589932673206401
134-2000,THYMELAEACEAE,6.0,2000,Eudicot,4.173388481140137,8.464077949523926,2.812341734052552,3.760901623482823,-5.645843008854638,2.7954349785618384
123-85,HAMAMELIDACEAE,14.0,1985,Eudicot,4.294075012207031,8.480640411376953,4.190170127399824,2.163687582755756,-5.506865456482354,0.690603246590447
1172-82,ROSACEAE,28.0,1982,Eudicot,3.959580421447754,8.70115852355957,1.0158399881308924,3.036128453998572,-3.0196416787420257,4.476802891797217
1129-81,ROSACEAE,28.0,1981,Eudicot,2.281540870666504,8.782585144042969,0.5612930491763564,2.946011393371464,2.3452856353215594,-4.808548147700534
1734-80,ROSACEAE,17.0,1980,Eudicot,2.2550642490386963,9.161893844604492,3.711836098422282,1.645883388846869,0.8795939542633113,5.226501169580211
239-2000,PINACEAE,6.0,2000,Pinopsida,2.116241693496704,8.562063217163086,3.591055235070371,1.3586156778937948,6.006397269946048,-1.900839771149708
271-98,ROSACEAE,6.0,1998,Eudicot,2.0851762294769287,8.510400772094727,2.817679496105029,3.764708667932154,5.982073437533159,1.6293548993267384
422-94,CORNACEAE,5.0,1994,Monocot,4.3004913330078125,8.741878509521484,2.240470717770222,2.1776712581131505,-5.748515437968181,-1.7188863427933
641-68,CORNACEAE,13.0,1968,Monocot,2.3593571186065674,9.057270050048828,5.185741325330355,1.1234253485586123,4.491192187194854,-1.3853493197312456
128-59,CORNACEAE,42.0,1959,Monocot,2.284010410308838,7.942765235900879,2.778828258321255,3.3373779643707167,3.181170679727175,2.818271297523375
2200-98,PINACEAE,4.0,1998,Pinopsida,2.345444917678833,11.973884582519531,2.5027044382188706,0.960662285932358,0.3066130635209808,6.192413780528406
819-58,TAXACEAE,35.0,1958,Pinopsida,2.5914971828460693,9.136211395263672,3.999935882364072,0.7407616654213598,-0.9345879226165188,4.094697231163653
831-67,ROSACEAE,3.0,1967,Eudicot,2.282682418823242,9.089874267578123,5.141379317990641,1.2256831553590928,-4.308197412548821,1.7498385795574325
2155-98,PINACEAE,10.0,1998,Pinopsida,2.684182643890381,10.880521774291992,2.4778028915720824,0.9412218593643048,-0.6124757934959221,6.169673686863948
749-45,ROSACEAE,24.0,1945,Eudicot,2.204883098602295,8.696372985839844,2.3146077970229726,2.170963626221237,-3.33590880378997,1.214171508806123
709-72,ROSACEAE,8.0,1972,Eudicot,2.1928417682647705,9.00390338897705,4.112200451344734,0.0409524573933595,4.359319745874253,-2.237483263229189
318-50,ROSACEAE,22.0,1950,Eudicot,4.099703311920166,8.701826095581055,4.036701899160107,-0.1133973634250651,-3.781701961354343,-0.3724651332523297
1736-98,PINACEAE,7.0,1998,Pinopsida,0.067040205001831,10.905007362365724,2.873532085131501,0.8379649238036109,-5.611885221822648,2.63566770612086
895-85,ROSACEAE,25.0,1985,Eudicot,2.635092735290528,9.723955154418944,1.1426429543316772,2.929207796257288,-5.068469031004576,2.26122128102214
2102-98,PINACEAE,7.0,1998,Pinopsida,-0.1299368143081665,13.063509941101074,2.432697432539044,0.824133200057986,4.491158035174776,4.274283507569997
4013,PINACEAE,88.0,1897,Pinopsida,2.535816669464112,9.066664695739746,4.8666092816172295,0.1328212762264229,-0.575,0.9959292143521048
162-52,ROSACEAE,58.0,1952,Eudicot,2.11025071144104,7.7155961990356445,4.38498186260108,-0.284768015872487,3.4749254443346294,-1.7705629489842305
228-2000,CORNACEAE,5.0,2000,Monocot,2.449636459350586,9.427362442016602,2.332807225227043,2.192296131745479,2.577132414179435,-5.748772783802252
841-90,ROSACEAE,18.0,1990,Eudicot,2.5218160152435303,9.357274055480955,0.6873323794604858,2.918713380130157,-5.476606784778239,1.909653928051052
